References	Qty	Description	Part Number	Manufacturer	Mouser	Digikey
R1	1	4.7K 1206	RC1206FR-074K7L	Yageo	603-RC1206FR-074K7L	311-4.70KFRCT-ND
R2	1	4.7K 1206	RC1206FR-074K7L	Yageo	603-RC1206FR-074K7L	311-4.70KFRCT-ND
R3	1	22K 1206	RC1206FR-0722KL	Yageo	603-RC1206FR-0722KL	311-22.0KFRCT-ND
R4	1	22K 1206	RC1206FR-0722KL	Yageo	603-RC1206FR-0722KL	311-22.0KFRCT-ND
R5	1	22K 1206	RC1206FR-0722KL	Yageo	603-RC1206FR-0722KL	311-22.0KFRCT-ND
R6	2	22K 1206	RC1206FR-0722KL	Yageo	603-RC1206FR-0722KL	311-22.0KFRCT-ND
R7	1	330 1206	RC1206FR-07330RL	Yageo	603-RC1206FR-07330RL	311-330FRCT-ND
R8	1	330 1206	RC1206FR-07330RL	Yageo	603-RC1206FR-07330RL	311-330FRCT-ND
R9	1	1K 1206	RC1206FR-071KL	Yageo	603-RC1206FR-071KL	311-1.00KFRCT-ND
R10	1	1K 1206	RC1206FR-071KL	Yageo	603-RC1206FR-071KL	311-1.00KFRCT-ND
R11	1	22K 1206	RC1206FR-0722KL	Yageo	603-RC1206FR-0722KL	311-22.0KFRCT-ND
R12	1	22K 1206	RC1206FR-0722KL	Yageo	603-RC1206FR-0722KL	311-22.0KFRCT-ND
C1	1	100nF 1206	C1206C104K5RACTU	KEMET	80-C1206C104K5R	399-1249-2-ND
C2	1	100nF 1206	C1206C104K5RACTU	KEMET	80-C1206C104K5R	399-1249-2-ND
C3	1	100nF 1206	C1206C104K5RACTU	KEMET	80-C1206C104K5R	399-1249-2-ND
C4	1	10µF 1206	C1206C106K3PACTU	KEMET	80-C1206C106K3P	
ICS1	1	8Pin-DIL-Socket	DILB8P-223TLF	Amphenol FCI	649-DILB8P223TLF	609-4717-ND
IC1	1	Attiny85 DIL-Package	ATtiny85-20PU	Microchip Technology / Atmel	556-ATTINY85-20PU	
LED Power (red)	1	TOP-led (3528 package)	AA3528SURSK	Kingbright	604-AA3528SURSK	754-1537-1-ND
LED Signal (blue)	1	TOP-led (3528 package)	AA3528QBS/D	Kingbright	604-AA3528QBS/D	
Pot	2	10k lin Potentiometer, 16mm (6mm shaft dia, 15mm shaft length)	P160KN-0QC15B10K	BI Technologies / TT Electronics	858-P160KN-0QC15B10K	
						
Better to source on ali / taobao						
(ali) NEO	1	NEO pixel 10-pack (SK6812)	1655	Adafruit 	485-1655	
(ali) Jack	2	Mini-Jack female 3.5mm	SJ1-3525NG	CUI	490-SJ1-3525NG	
(ali) push button	2	Tactile Switches	1571621-1	TE Connectivity / Alcoswitch	506-1571621-1	
(ali) Pin-header	2	4 pos Pin Header Socket (Female)	929870-01-04-RA	3M Electronic Solutions Division	517-929870-01-04-RA	
						
Optional						
(opt) C5	1	100nF 1206	C1206C104K5RACTU	KEMET	80-C1206C104K5R	399-1249-2-ND
(opt) C6	1	100nF 1206	C1206C104K5RACTU	KEMET	80-C1206C104K5R	399-1249-2-ND
(opt) C7	1	10µF 1206	C1206C106K3PACTU	KEMET	80-C1206C106K3P	
(opt) R13	1	330 1206	RC1206FR-07330RL	Yageo	603-RC1206FR-07330RL	311-330FRCT-ND
(opt) R14	1	22K 1206	RC1206FR-0722KL	Yageo	603-RC1206FR-0722KL	311-22.0KFRCT-ND
(ali opt) Pin-header	1	6 pos Pin Header Socket (Female)	929870-01-06-RA	3M Electronic Solutions Division	517-929870-01-06-RA	
(opt) USB	1	Micro-USB plug (female)				
(opt) AMP	1	PAM8301 Audio Amplifiers 1.5W MONO	PAM8301AAF	Diodes Incorporated	621-PAM8301AAF	
(opt) NPN MOSFET	1	MOSFET N-CHANNEL 60V 115mA	2N7002	ON Semiconductor / Fairchild	512-2N7002	
(opt) Knob	2	not yet found				
(opt) Pot-Wheel	1	not yet found				
